platform,age_group,gender,city,interest,engagement_rate,time_spent_minutes
Instagram,35-44,Masculino,Guarulhos,Saúde,0.05768843532845051,27
Instagram,25-34,Feminino,Recife,Arte,0.02311499287258216,49
Instagram,25-34,Masculino,Belém,Entretenimento,0.059064389304159276,46
Instagram,18-24,Outro,Rio de Janeiro,Saúde,0.07680098043563205,30
Instagram,35-44,Feminino,Curitiba,Automóveis,0.04356167061979089,25
Instagram,35-44,Outro,Brasília,Arte,0.07198288937230682,38
Instagram,55-64,Outro,Porto Alegre,Tecnologia,0.04578960822908866,6
Instagram,25-34,Feminino,Campinas,Moda,0.051609256759226174,17
Instagram,35-44,Masculino,São Paulo,Viagem,0.07304686322921265,35
Instagram,18-24,Outro,São Paulo,Arte,0.025845983964208723,56
Instagram,18-24,Masculino,Rio de Janeiro,Negócios,0.0695549268890224,39
Instagram,45-54,Masculino,Rio de Janeiro,Educação,0.056665528185272804,17
Instagram,35-44,Masculino,Salvador,Moda,0.07872957682171938,16
Instagram,25-34,Outro,Fortaleza,Moda,0.06461602939451008,40
Instagram,55-64,Feminino,Goiânia,Fitness,0.07948417757717524,5
Instagram,55-64,Masculino,Belo Horizonte,Negócios,0.050651603720732005,18
Instagram,55-64,Feminino,Recife,Esportes,0.02682302714766264,16
Instagram,25-34,Outro,Manaus,Beleza,0.059923192473387885,20
Instagram,25-34,Feminino,Manaus,Moda,0.05191770290937453,5
Instagram,45-54,Outro,São Paulo,Tecnologia,0.033386917482391185,51
Instagram,25-34,Outro,São Luís,Viagem,0.0626929504723578,9
Instagram,35-44,Outro,São Paulo,Entretenimento,0.022126189839217013,53
Instagram,35-44,Outro,Porto Alegre,Casa e Decoração,0.05555286431392625,56
Instagram,35-44,Masculino,Salvador,Educação,0.05329421387796536,17
Instagram,18-24,Feminino,Porto Alegre,Beleza,0.024091605866479203,46
Instagram,45-54,Outro,Belém,Beleza,0.06333516252695225,18
Instagram,65+,Outro,Salvador,Negócios,0.0524007582389517,51
Instagram,65+,Masculino,São Paulo,Moda,0.039945387525255754,42
Instagram,55-64,Outro,Salvador,Automóveis,0.042338914897577504,12
